Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
218,Boubakary Soumaré,Sevilla,0.2,3.0,2286,28,FRA
218,Daniel Vivian,Athletic Club,0.2,3.0,2879,33,ESP
218,Hugo Guillamon,Valencia CF,0.2,3.0,1305,26,ESP
218,Oscar Melendo,Granada CF,0.2,3.0,1126,26,ESP
222,Álex Fernández,Cádiz,0.2,2.8,1283,26,ESP
223,Benito,Las Palmas,0.2,2.7,368,20,ESP
223,Djené,Getafe,0.2,2.7,2490,33,TOG
225,Andreas Christensen,Barcelona,0.2,2.3,1990,30,DEN
225,Iker Muniain,Athletic Club,0.2,2.3,585,20,ESP
225,Inigo Lekue,Athletic Club,0.2,2.3,2001,27,ESP
225,Johan Mojica,Osasuna,0.2,2.3,2041,30,COL
225,Mario Hermoso,Atlético de Madrid,0.2,2.3,2556,31,ESP
230,Arnau Martinez,Girona,0.2,2.0,1240,21,ESP
230,Daniel Carvajal,Real Madrid,0.2,2.0,2172,28,ESP
230,Valery Fernández,Girona,0.2,2.0,486,27,ESP
233,Miguel Gutiérrez,Girona,0.2,1.9,3037,35,ESP
234,Adrià Pedrosa,Sevilla,0.2,1.8,1749,31,ESP
234,Aihen Munoz,Real Sociedad,0.2,1.8,1120,21,ESP
234,Alfonso Pedraza,Villarreal,0.2,1.8,1119,19,ESP
234,Ferland Mendy,Real Madrid,0.2,1.8,1725,23,FRA
234,Giovanni González,Mallorca,0.2,1.8,2463,34,URU
234,Javier Hernández,Cádiz,0.2,1.8,2517,30,ESP
234,José Copete,Mallorca,0.2,1.8,1335,19,ESP
234,Juan Cruz,Osasuna,0.2,1.8,1663,26,ESP
234,Jules Koundé,Barcelona,0.2,1.8,2899,35,FRA
243,Andoni Gorosabel,Alavés,0.2,1.7,2863,36,ESP
244,Florian Lejeune,Rayo Vallecano,0.2,1.6,3328,37,FRA
244,Isaac Carcelén,Cádiz,0.2,1.6,2609,35,ESP
244,Oscar Mingueza,Celta de Vigo,0.2,1.6,3002,38,ESP
244,Rubén Duarte,Alavés,0.2,1.6,1875,28,ESP
248,Jorge Cuenca,Villarreal,0.2,1.5,1961,29,ESP
249,Alberto Moreno,Villarreal,0.2,1.4,1490,27,ESP
249,Hector Bellerin,Real Betis,0.2,1.4,1714,23,ESP
249,Sergio Akieme,Almería,0.2,1.4,1676,19,EQG
252,Jaume Costa,Mallorca,0.2,1.3,1681,30,ESP
252,Kieran Tierney,Real Sociedad,0.2,1.3,1243,20,SCO
