Rank,Player,Team,Expected Goals on Target (xGOT),Actual Goals,Minutes,Matches,Country
287,Nacho Vidal,Mallorca,0.6,1.0,506,15,ESP
287,Pablo Maffeo,Mallorca,0.6,1.0,1456,22,ARG
287,Saul Niguez,Atlético de Madrid,0.6,1.0,1363,34,ESP
290,Aihen Munoz,Real Sociedad,0.6,0.0,1120,21,ESP
290,Benat Prados,Athletic Club,0.6,0.0,1450,26,ESP
290,Daniel Vivian,Athletic Club,0.6,0.0,2879,33,ESP
290,David Garcia,Osasuna,0.6,0.0,2336,27,ESP
290,Iddrisu Baba,Almería,0.6,0.0,1424,25,GHA
290,Manu Morlanes,Mallorca,0.6,0.0,1610,35,ESP
290,Mario Hermoso,Atlético de Madrid,0.6,0.0,2556,31,ESP
290,Marvin Park,Las Palmas,0.6,0.0,1852,31,ESP
290,Mohamed-Ali Cho,Real Sociedad,0.6,0.0,239,11,FRA
290,Peter González,Valencia CF,0.6,0.0,646,15,DOM
290,Rodri,Real Betis,0.6,0.0,1039,29,ESP
301,Bruno Langa,Almería,0.5,1.0,819,11,MOZ
301,Carles Pérez,Celta de Vigo,0.5,1.0,768,16,ESP
301,Gavi,Barcelona,0.5,1.0,943,12,ESP
301,Hugo Guillamon,Valencia CF,0.5,1.0,1305,26,ESP
301,Nahuel Tenaglia,Alavés,0.5,1.0,1131,25,ARG
301,Nemanja Gudelj,Sevilla,0.5,1.0,1744,22,SRB
301,Pep Chavarria,Rayo Vallecano,0.5,1.0,1164,22,ESP
301,Sory Kaba,Las Palmas,0.5,1.0,720,17,GUI
301,William Carvalho,Real Betis,0.5,1.0,669,22,POR
310,Alfonso Espino,Rayo Vallecano,0.5,0.0,2512,31,URU
310,Diego Rico,Getafe,0.5,0.0,2536,32,ESP
310,Jhon Solis,Girona,0.5,0.0,369,18,COL
310,Kamil Jozwiak,Granada CF,0.5,0.0,573,11,POL
310,Luiz Henrique,Real Betis,0.5,0.0,611,14,BRA
310,Mihailo Ristic,Celta de Vigo,0.5,0.0,807,12,SRB
310,Nacho Fernandez,Real Madrid,0.5,0.0,1739,29,ESP
317,Alejandro Catena,Osasuna,0.4,1.0,2536,30,ESP
317,Inigo Ruiz de Galarreta,Athletic Club,0.4,1.0,2104,29,ESP
317,Kaiky,Almería,0.4,1.0,520,8,BRA
317,Marc Guiu,Barcelona,0.4,1.0,73,3,ESP
317,Marko Milovanovic,Almería,0.4,1.0,301,11,SRB
317,Oscar de Marcos,Athletic Club,0.4,1.0,2261,28,ESP
317,Sergi Altimira,Real Betis,0.4,1.0,566,14,ESP
324,Carlos Romero,Villarreal,0.4,0.0,259,7,ESP
324,César Montes,Almería,0.4,0.0,1792,21,MEX
324,Fran Beltrán,Celta de Vigo,0.4,0.0,2438,33,ESP
324,Hamari Traoré,Real Sociedad,0.4,0.0,2296,31,MLI
324,Luis Milla,Getafe,0.4,0.0,2123,27,ESP
324,Mamadou Mbaye,Cádiz,0.4,0.0,286,4,SEN
324,Mariano Diaz,Sevilla,0.4,0.0,239,9,DOM
324,Mauro Arambarri,Getafe,0.4,0.0,337,7,URU
324,Oscar Trejo,Rayo Vallecano,0.4,0.0,1381,31,ARG
324,Rafa Marin,Alavés,0.4,0.0,2442,33,ESP
324,Ruben Sobrino,Cádiz,0.4,0.0,1648,32,ESP
324,Yannick Carrasco,Atlético de Madrid,0.4,0.0,223,3,BEL
324,Yeray Álvarez,Athletic Club,0.4,0.0,1155,19,ESP
337,Aleksandar Sedlar,Alavés,0.3,1.0,948,11,SRB
337,Ander Guevara,Alavés,0.3,1.0,2936,37,ESP
337,José Copete,Mallorca,0.3,1.0,1335,19,ESP
337,Juan Foyth,Villarreal,0.3,1.0,1063,12,ARG
337,Marc Pubill,Almería,0.3,1.0,1889,23,ESP
342,Adnan Januzaj,Sevilla,0.3,0.0,187,8,BEL
342,Alejandro Pozo,Almería,0.3,0.0,970,21,ESP
342,Alejo Veliz,Sevilla,0.3,0.0,31,6,ARG
342,Ander Herrera,Athletic Club,0.3,0.0,1023,23,ESP
342,Cristhian Mosquera,Valencia CF,0.3,0.0,3074,36,ESP
342,David Alaba,Real Madrid,0.3,0.0,1156,14,AUT
342,Diadie Samassékou,Cádiz,0.3,0.0,87,4,MLI
342,Dimitri Foulquier,Valencia CF,0.3,0.0,1833,33,FRA
342,Éder Militao,Real Madrid,0.3,0.0,497,10,BRA
342,Jesus Navas,Sevilla,0.3,0.0,2010,29,ESP
342,Joaquin Panichelli,Alavés,0.3,0.0,222,8,ARG
342,Lucien Agoume,Sevilla,0.3,0.0,777,12,FRA
342,Marcos Alonso,Barcelona,0.3,0.0,250,5,ESP
342,Miguel de la Fuente,Alavés,0.3,0.0,64,3,ESP
342,Oscar Melendo,Granada CF,0.3,0.0,1126,26,ESP
342,Pablo Torre,Girona,0.3,0.0,690,26,ESP
342,Raul Albiol,Villarreal,0.3,0.0,2035,26,ESP
342,Sokratis Papastathopoulos,Real Betis,0.3,0.0,1135,15,GRE
360,Benito,Las Palmas,0.2,1.0,368,20,ESP
360,Unai Garcia,Osasuna,0.2,1.0,559,9,ESP
362,Álex Centelles,Almería,0.2,0.0,979,14,ESP
362,Cenk Özkacar,Valencia CF,0.2,0.0,1595,23,TUR
362,Enrique Barja,Osasuna,0.2,0.0,293,16,ESP
362,Fali,Cádiz,0.2,0.0,2550,30,ESP
362,Johan Mojica,Osasuna,0.2,0.0,2041,30,COL
362,Loic Badé,Sevilla,0.2,0.0,2283,28,FRA
362,Manuel Sánchez,Celta de Vigo,0.2,0.0,1777,26,ESP
362,Maximo Perrone,Las Palmas,0.2,0.0,1626,29,ARG
362,Oriol Romeu,Barcelona,0.2,0.0,930,28,ESP
362,Ramon Terrats,Villarreal,0.2,0.0,780,19,ESP
362,Toni Villa,Girona,0.2,0.0,11,2,ESP
373,Abdul Mumin,Rayo Vallecano,0.1,1.0,1695,20,GHA
373,Federico San Emeterio,Cádiz,0.1,1.0,155,4,ESP
373,Francisco Garcia,Real Madrid,0.1,1.0,1396,25,ESP
373,Stefan Mitrovic,Getafe,0.1,1.0,700,11,SRB
377,Alberto Risco,Getafe,0.1,0.0,135,4,ESP
377,Álex Balde,Barcelona,0.1,0.0,1378,18,ESP
377,Álvaro Fernández,Granada CF,0.1,0.0,474,13,ESP
377,Damian Suarez,Getafe,0.1,0.0,1306,16,URU
377,Daniel Ceballos,Real Madrid,0.1,0.0,586,20,ESP
377,Franco Cervi,Celta de Vigo,0.1,0.0,537,17,ARG
377,Gabriel Paulista,Atlético de Madrid,0.1,0.0,1806,23,BRA
377,Ilaix Moriba,Getafe,0.1,0.0,606,14,GUI
377,Inigo Martinez,Barcelona,0.1,0.0,1293,20,ESP
377,Iván Alejo,Cádiz,0.1,0.0,1702,30,ESP
377,Jailson,Celta de Vigo,0.1,0.0,893,14,BRA
377,Jaume Costa,Mallorca,0.1,0.0,1681,30,ESP
377,Javi Galán,Real Sociedad,0.1,0.0,1159,19,ESP
377,José Giménez,Atlético de Madrid,0.1,0.0,1323,22,URU
377,Marcos Pena,Almería,0.1,0.0,439,7,ESP
377,Njegos Petrovic,Granada CF,0.1,0.0,148,10,SRB
377,Sergio Ruiz,Granada CF,0.1,0.0,2501,35,ESP
394,Álex Fernández,Cádiz,0.0,0.0,1283,26,ESP
394,Álvaro Negredo,Cádiz,0.0,0.0,48,7,ESP
394,Andrei Ratiu,Rayo Vallecano,0.0,0.0,627,12,ROU
394,Ansu Fati,Barcelona,0.0,0.0,47,3,ESP
394,Cédric Bakambu,Real Betis,0.0,0.0,195,4,COD
394,Djené,Getafe,0.0,0.0,2490,33,TOG
394,Ferland Mendy,Real Madrid,0.0,0.0,1725,23,FRA
394,Gonzalo Garcia,Real Madrid,0.0,0.0,17,2,ESP
394,Joan Jordán,Sevilla,0.0,0.0,378,8,ESP
394,Jorge Meré,Cádiz,0.0,0.0,677,10,ESP
394,Kevin Vázquez,Celta de Vigo,0.0,0.0,706,12,ESP
394,Mario Dominguez,Valencia CF,0.0,0.0,23,3,ESP
394,Martin Hongla,Granada CF,0.0,0.0,558,13,CMR
