Rank,Player,Team,Clearances per 90,Total Clearances,Minutes,Matches,Country
262,Joao Félix,Barcelona,0.6,11.0,1542,30,POR
263,Antonio Sánchez,Mallorca,0.6,9.0,1463,29,ESP
264,Arsen Zakharyan,Real Sociedad,0.6,8.0,1229,29,RUS
265,Valery Fernández,Girona,0.6,3.0,486,27,ESP
266,Raul de Tomas,Rayo Vallecano,0.6,8.0,1277,25,ESP
267,Jørgen Strand Larsen,Celta de Vigo,0.5,16.0,2887,37,NOR
267,Ilkay Gündogan,Barcelona,0.5,16.0,2997,36,GER
269,Joselu,Real Madrid,0.5,10.0,1676,34,ESP
270,Rodrigo De Paul,Atlético de Madrid,0.5,12.0,2084,34,ARG
271,Mikel Oyarzabal,Real Sociedad,0.5,11.0,2157,33,ESP
272,Ayoze Pérez,Real Betis,0.5,12.0,2307,31,ESP
273,Abdessamad Ezzalzouli,Real Betis,0.5,5.0,921,28,MAR
274,Jude Bellingham,Real Madrid,0.5,13.0,2323,28,ENG
274,Marc-Andre ter Stegen,Barcelona,0.5,13.0,2520,28,GER
276,Antonio Puertas,Granada CF,0.5,4.0,720,27,ESP
277,Sergi Canos,Valencia CF,0.5,7.0,1234,27,ESP
278,Munir El Haddadi,Las Palmas,0.4,12.0,2470,38,MAR
279,Paulo Gazzaniga,Girona,0.4,17.0,3420,38,ARG
280,Lamine Yamal,Barcelona,0.4,9.0,2197,37,ESP
281,Cristian Portu,Girona,0.4,5.0,1271,36,ESP
282,Iván Martin,Girona,0.4,12.0,2744,36,ESP
283,Unai Simon,Athletic Club,0.4,14.0,3184,36,ESP
284,Sergio Arribas,Almería,0.4,8.0,2055,34,ESP
285,Ángel Correa,Atlético de Madrid,0.4,6.0,1525,32,ARG
286,Ilias Akhomach,Villarreal,0.4,7.0,1511,31,MAR
287,Ferran Torres,Barcelona,0.4,6.0,1204,29,ESP
288,Largie Ramazani,Almería,0.4,7.0,1560,29,BEL
289,Alberto Moleiro,Las Palmas,0.4,9.0,1807,28,ESP
290,Jonathan Bamba,Celta de Vigo,0.4,8.0,1993,27,CIV
291,Luis Milla,Getafe,0.4,9.0,2123,27,ESP
292,Pablo Torre,Girona,0.4,3.0,690,26,ESP
293,Djibril Sow,Sevilla,0.4,6.0,1469,24,SUI
294,Oscar Rodriguez,Getafe,0.4,4.0,962,24,ESP
295,Pedri,Barcelona,0.4,7.0,1482,24,ESP
296,André Silva,Real Sociedad,0.4,3.0,730,19,POR
297,Adrián Embarba,Almería,0.3,8.0,2485,36,ESP
298,Diego Lopez,Valencia CF,0.3,10.0,2671,36,ESP
299,Myrto Uzuni,Granada CF,0.3,7.0,2459,34,ALB
300,Aimar Oroz,Osasuna,0.3,8.0,2350,33,ESP
301,Toni Kroos,Real Madrid,0.3,6.0,2130,33,GER
301,Luka Modric,Real Madrid,0.3,6.0,1685,32,CRO
303,Ander Barrenetxea,Real Sociedad,0.3,4.0,1436,29,ESP
304,José Luis Morales,Villarreal,0.3,3.0,1037,29,ESP
305,Roger,Cádiz,0.3,4.0,1367,23,ESP
306,Ianis Hagi,Alavés,0.3,3.0,798,22,ROU
307,Daniel Ceballos,Real Madrid,0.3,2.0,586,20,ESP
308,Savio,Girona,0.2,5.0,2989,37,BRA
309,Iago Aspas,Celta de Vigo,0.2,6.0,2715,35,ESP
310,Rodrygo,Real Madrid,0.2,4.0,2388,34,BRA
310,Fran Pérez,Valencia CF,0.2,4.0,2069,32,ESP
312,Maximiliano Gomez,Cádiz,0.2,3.0,1157,31,URU
313,Oihan Sancet,Athletic Club,0.2,4.0,1991,30,ESP
314,Takefusa Kubo,Real Sociedad,0.2,5.0,2155,30,JPN
315,Isco,Real Betis,0.2,6.0,2338,29,ESP
316,Rodri,Real Betis,0.2,2.0,1039,29,ESP
317,Suso,Sevilla,0.2,3.0,1514,29,ESP
318,Robert Navarro,Cádiz,0.2,5.0,1905,28,ESP
319,Oliver Torres,Sevilla,0.2,3.0,1620,27,ESP
320,José Arnáiz,Osasuna,0.2,2.0,922,26,ESP
321,Oscar Melendo,Granada CF,0.2,3.0,1126,26,ESP
321,Dodi Lukebakio,Sevilla,0.2,3.0,1124,23,BEL
323,Darwin Machis,Cádiz,0.2,2.0,782,21,VEN
323,Nabil Fekir,Real Betis,0.2,2.0,1049,19,FRA
325,Mason Greenwood,Getafe,0.1,4.0,2667,33,ENG
326,Brahim Diaz,Real Madrid,0.1,2.0,1551,31,MAR
327,Nico Williams,Athletic Club,0.1,3.0,2280,31,ESP
328,Bryan Zaragoza,Granada CF,0.1,1.0,1640,21,ESP
329,Jonathan Viera,Almería,0.1,2.0,1541,21,ESP
