Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
288,Aissa Mandi,Villarreal,0.7,1.0,1113,16,ALG
288,Ander Guevara,Alavés,0.7,1.0,2936,37,ESP
288,Andoni Gorosabel,Alavés,0.7,1.0,2863,36,ESP
288,Javi Llabrés,Mallorca,0.7,1.0,235,16,ESP
288,Julian Araujo,Las Palmas,0.7,1.0,1462,25,MEX
288,Marc Pubill,Almería,0.7,1.0,1889,23,ESP
288,Mouctar Diakhaby,Valencia CF,0.7,1.0,1071,14,GUI
296,Ander Herrera,Athletic Club,0.7,0.0,1023,23,ESP
296,Ansu Fati,Barcelona,0.7,0.0,47,3,ESP
296,Borja Iglesias,Real Betis,0.7,0.0,404,11,ESP
296,César Montes,Almería,0.7,0.0,1792,21,MEX
296,Chadi Riad,Real Betis,0.7,0.0,2164,26,MAR
296,Cristhian Mosquera,Valencia CF,0.7,0.0,3074,36,ESP
296,Dimitri Foulquier,Valencia CF,0.7,0.0,1833,33,FRA
296,Iddrisu Baba,Almería,0.7,0.0,1424,25,GHA
296,Isaac Carcelén,Cádiz,0.7,0.0,2609,35,ESP
296,Iván Balliu,Rayo Vallecano,0.7,0.0,2876,33,ALB
296,Oriol Romeu,Barcelona,0.7,0.0,930,28,ESP
296,Rafa Marin,Alavés,0.7,0.0,2442,33,ESP
296,Sergio Ruiz,Granada CF,0.7,0.0,2501,35,ESP
309,André Almeida,Valencia CF,0.6,2.0,969,18,POR
309,Bruno Méndez,Granada CF,0.6,2.0,1336,17,URU
311,Alfonso Pedraza,Villarreal,0.6,1.0,1119,19,ESP
311,Jesus Santiago,Getafe,0.6,1.0,657,14,ESP
311,Jon Moncayola,Osasuna,0.6,1.0,1801,33,ESP
311,Nahuel Tenaglia,Alavés,0.6,1.0,1131,25,ARG
311,Oscar de Marcos,Athletic Club,0.6,1.0,2261,28,ESP
316,Abdelkabir Abqar,Alavés,0.6,0.0,2314,27,MAR
316,Adnan Januzaj,Sevilla,0.6,0.0,187,8,BEL
