Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
262,Florian Lejeune,Rayo Vallecano,9.0,0.2,3328,37,FRA
263,Marc Cardona,Las Palmas,8.0,1.0,724,26,ESP
264,Ramon Terrats,Villarreal,8.0,0.9,780,19,ESP
264,Sheraldo Becker,Real Sociedad,8.0,0.9,772,15,SUR
266,Anastasios Douvikas,Celta de Vigo,8.0,0.8,886,32,GRE
266,Anthony Lozano,Almería,8.0,0.8,866,19,HON
266,Oriol Romeu,Barcelona,8.0,0.8,930,28,ESP
269,Kieran Tierney,Real Sociedad,8.0,0.6,1243,20,SCO
269,Raul de Tomas,Rayo Vallecano,8.0,0.6,1277,25,ESP
271,Abner,Real Betis,8.0,0.5,1397,23,BRA
271,Johnny,Real Betis,8.0,0.5,1331,17,USA
273,Ronald Araujo,Barcelona,8.0,0.4,1994,25,URU
274,Antonio Raillo,Mallorca,8.0,0.3,2198,26,ESP
274,Boubakary Soumaré,Sevilla,8.0,0.3,2286,28,FRA
274,Gaston Álvarez,Getafe,8.0,0.3,2535,34,URU
277,Nemanja Radonjic,Mallorca,7.0,1.8,350,11,SRB
278,Álvaro Fernández,Granada CF,7.0,1.3,474,13,ESP
279,Jordi Martin,Getafe,7.0,1.1,574,13,ESP
280,Peter González,Valencia CF,7.0,1.0,646,15,DOM
281,Aritz Elustondo,Real Sociedad,7.0,0.8,808,15,ESP
281,Bruno Langa,Almería,7.0,0.8,819,11,MOZ
281,Kike Pérez,Rayo Vallecano,7.0,0.8,828,24,ESP
284,Luis Suárez,Almería,7.0,0.7,917,15,COL
285,Renato Tapia,Celta de Vigo,7.0,0.5,1337,21,PER
286,Kiko,Villarreal,7.0,0.4,1579,23,ESP
286,Mikel Vesga,Athletic Club,7.0,0.4,1535,27,ESP
286,Nemanja Gudelj,Sevilla,7.0,0.4,1744,22,SRB
289,Andreas Christensen,Barcelona,7.0,0.3,1990,30,DEN
289,Djené,Getafe,7.0,0.3,2490,33,TOG
289,Martin Valjent,Mallorca,7.0,0.3,2354,28,SVK
292,Edgar González,Almería,7.0,0.2,2528,31,ESP
293,Damian Rodriguez,Celta de Vigo,6.0,2.1,257,5,ESP
294,Alberto Mari,Valencia CF,6.0,2.0,264,16,ESP
294,Lázaro,Almería,6.0,2.0,274,14,BRA
296,Xeber Alkain,Alavés,6.0,1.8,300,10,ESP
297,Jon Olasagasti,Real Sociedad,6.0,1.5,351,14,ESP
