Rank,Player,Team,Expected Assists (xA),Actual Assists,Minutes,Matches,Country
301,Daniel Vivian,Athletic Club,0.6,0.0,2879,33,ESP
301,Denis Suárez,Villarreal,0.6,0.0,130,4,ESP
301,Francis Coquelin,Villarreal,0.6,0.0,909,17,FRA
301,Lucas Torro,Osasuna,0.6,0.0,1788,28,ESP
301,Raul Garcia,Athletic Club,0.6,0.0,404,20,ESP
301,Stefan Savic,Atlético de Madrid,0.6,0.0,1631,23,MNE
309,Cristhian Stuani,Girona,0.5,3.0,782,31,URU
310,Cyle Larin,Mallorca,0.5,2.0,1823,35,CAN
310,Héctor Fort,Barcelona,0.5,2.0,320,7,ESP
312,José Copete,Mallorca,0.5,1.0,1335,19,ESP
312,Loic Badé,Sevilla,0.5,1.0,2283,28,FRA
312,Reinildo,Atlético de Madrid,0.5,1.0,723,16,MOZ
312,Yerson Mosquera,Villarreal,0.5,1.0,1228,16,COL
316,Abdessamad Ezzalzouli,Real Betis,0.5,0.0,921,28,MAR
316,Arda Güler,Real Madrid,0.5,0.0,373,10,TUR
316,Bebé,Rayo Vallecano,0.5,0.0,193,19,CPV
316,Hugo Guillamon,Valencia CF,0.5,0.0,1305,26,ESP
316,Ibrahima Koné,Almería,0.5,0.0,275,9,MLI
316,Iker Munoz,Osasuna,0.5,0.0,1856,28,ESP
316,Inigo Martinez,Barcelona,0.5,0.0,1293,20,ESP
316,Luis Suárez,Almería,0.5,0.0,917,15,COL
316,Maximiliano Gomez,Cádiz,0.5,0.0,1157,31,URU
316,Miguel Crespo,Rayo Vallecano,0.5,0.0,521,15,POR
316,Mihailo Ristic,Celta de Vigo,0.5,0.0,807,12,SRB
316,Pejino,Las Palmas,0.5,0.0,498,17,ESP
316,Peter González,Valencia CF,0.5,0.0,646,15,DOM
316,Valery Fernández,Girona,0.5,0.0,486,27,ESP
316,Xeber Alkain,Alavés,0.5,0.0,300,10,ESP
316,Yéremi Pino,Villarreal,0.5,0.0,479,7,ESP
332,Ilaix Moriba,Getafe,0.4,2.0,606,14,GUI
332,Raul de Tomas,Rayo Vallecano,0.4,2.0,1277,25,ESP
334,Benito,Las Palmas,0.4,1.0,368,20,ESP
334,Enes Ünal,Getafe,0.4,1.0,138,3,TUR
334,Faitout Maouassa,Granada CF,0.4,1.0,244,6,FRA
334,Jailson,Celta de Vigo,0.4,1.0,893,14,BRA
334,Javier Manquillo,Celta de Vigo,0.4,1.0,746,12,ESP
334,Nemanja Gudelj,Sevilla,0.4,1.0,1744,22,SRB
334,Sory Kaba,Las Palmas,0.4,1.0,720,17,GUI
341,Aissa Mandi,Villarreal,0.4,0.0,1113,16,ALG
341,Aitor Paredes,Athletic Club,0.4,0.0,2706,34,ESP
341,Álvaro Fernández,Granada CF,0.4,0.0,474,13,ESP
341,Anthony Lozano,Almería,0.4,0.0,866,19,HON
341,Cédric Bakambu,Real Betis,0.4,0.0,195,4,COD
341,César Montes,Almería,0.4,0.0,1792,21,MEX
341,David Lopez,Girona,0.4,0.0,1975,25,ESP
341,Enrique Barja,Osasuna,0.4,0.0,293,16,ESP
341,Gaston Álvarez,Getafe,0.4,0.0,2535,34,URU
341,Iddrisu Baba,Almería,0.4,0.0,1424,25,GHA
341,Jordi Martin,Getafe,0.4,0.0,574,13,ESP
341,Kevin Vázquez,Celta de Vigo,0.4,0.0,706,12,ESP
341,Luis Hernández,Cádiz,0.4,0.0,722,9,ESP
341,Pau Cubarsi,Barcelona,0.4,0.0,1562,19,ESP
341,Rafa Marin,Alavés,0.4,0.0,2442,33,ESP
341,Sergio Ramos,Sevilla,0.4,0.0,2518,28,ESP
341,Yeray Álvarez,Athletic Club,0.4,0.0,1155,19,ESP
358,Jon Pacheco,Real Sociedad,0.3,1.0,1521,23,ESP
358,Selim Amallah,Valencia CF,0.3,1.0,597,20,MAR
360,Amath Ndiaye,Mallorca,0.3,0.0,388,15,SEN
360,Andrés Guardado,Real Betis,0.3,0.0,442,12,MEX
360,Bruno Langa,Almería,0.3,0.0,819,11,MOZ
360,Carlos Dominguez,Celta de Vigo,0.3,0.0,1585,22,ESP
360,Carlos Dotor,Celta de Vigo,0.3,0.0,702,17,ESP
360,Cenk Özkacar,Valencia CF,0.3,0.0,1595,23,TUR
360,Edgar González,Almería,0.3,0.0,2528,31,ESP
360,Fali,Cádiz,0.3,0.0,2550,30,ESP
360,Fernando,Sevilla,0.3,0.0,459,8,BRA
360,Gabriel Paulista,Atlético de Madrid,0.3,0.0,1806,23,BRA
360,Germán Pezzella,Real Betis,0.3,0.0,2770,32,ARG
360,Imanol Garcia de Albeniz,Athletic Club,0.3,0.0,523,9,ESP
360,Javi Llabrés,Mallorca,0.3,0.0,235,16,ESP
360,Jon Magunazelaia,Real Sociedad,0.3,0.0,118,5,ESP
